country_code,iso_weekstartdate,isoyw,inf_all,inf_a,inf_b,avg_temp,humidity,pct_a,pct_b,week,season_sin,season_cos,inf_all_log,inf_a_log,inf_b_log
USA,2008-06-16 00:00:00+00:00,200825.0,7.0,5.0,2.0,26.815498852010595,69.8133393865059,0.7142857142857143,0.2857142857142857,25.0,0.120536680255323,-0.992708874098054,2.0794415416798357,1.791759469228055,1.0986122886681098
USA,2008-07-07 00:00:00+00:00,200828.0,6.0,2.0,4.0,19.04815212361351,78.0002329151857,0.3333333333333333,0.6666666666666666,28.0,-0.2393156642875574,-0.970941817426052,1.9459101490553132,1.0986122886681098,1.6094379124341003
USA,2008-07-21 00:00:00+00:00,200830.0,9.0,9.0,0.0,15.323883834147962,46.06212164511869,1.0,0.0,30.0,-0.464723172043768,-0.8854560256532101,2.302585092994046,2.302585092994046,0.0
USA,2008-08-11 00:00:00+00:00,200833.0,1.0,0.0,1.0,18.329692073617828,73.39429245273956,0.0,1.0,33.0,-0.7485107481711011,-0.6631226582407952,0.6931471805599453,0.0,0.6931471805599453
USA,2008-08-25 00:00:00+00:00,200835.0,5.0,2.0,3.0,12.576103377580935,62.941611717558814,0.4,0.6,35.0,-0.8854560256532096,-0.4647231720437691,1.791759469228055,1.0986122886681098,1.3862943611198906
USA,2008-09-15 00:00:00+00:00,200838.0,12.0,10.0,2.0,-2.64456385544477,74.76924403364352,0.8333333333333334,0.1666666666666666,38.0,-0.992708874098054,-0.1205366802553235,2.5649493574615367,2.3978952727983707,1.0986122886681098
USA,2008-09-29 00:00:00+00:00,200840.0,17.0,11.0,6.0,27.566992924545676,82.43132252297666,0.6470588235294118,0.3529411764705882,40.0,-0.992708874098054,0.1205366802553232,2.8903717578961645,2.4849066497880004,1.9459101490553132
USA,2008-10-20 00:00:00+00:00,200843.0,60.0,46.0,14.0,27.49466360878832,61.26014771400263,0.7666666666666667,0.2333333333333333,43.0,-0.8854560256532101,0.464723172043768,4.110873864173311,3.8501476017100584,2.70805020110221
USA,2008-11-24 00:00:00+00:00,200848.0,112.0,88.0,24.0,28.031221162635443,43.893687364665155,0.7857142857142857,0.2142857142857142,48.0,-0.4647231720437684,0.88545602565321,4.727387818712341,4.48863636973214,3.2188758248682006
USA,2008-12-29 00:00:00+00:00,200901.0,357.0,307.0,50.0,23.006333771975992,52.47954006774153,0.8599439775910365,0.1400560224089636,1.0,0.120536680255323,0.992708874098054,5.8805329864007,5.730099782973574,3.9318256327243257
USA,2009-01-19 00:00:00+00:00,200904.0,1254.0,1065.0,189.0,23.11432272721344,55.993331056771005,0.8492822966507177,0.1507177033492823,4.0,0.4647231720437685,0.8854560256532099,7.134890851565884,6.97166860472579,5.247024072160486
USA,2009-02-02 00:00:00+00:00,200906.0,2797.0,2109.0,688.0,6.101920525415625,49.52981823952922,0.754022166607079,0.2459778333929209,6.0,0.6631226582407952,0.7485107481711011,7.936660155225426,7.6544432264701125,6.535241271013659
USA,2009-02-23 00:00:00+00:00,200909.0,2915.0,1768.0,1147.0,8.307000689709543,63.12590336226329,0.6065180102915952,0.3934819897084048,9.0,0.8854560256532098,0.4647231720437686,7.977968093128549,7.478169694159785,7.045776576879511
USA,2009-03-09 00:00:00+00:00,200911.0,2150.0,1088.0,1062.0,13.205795143724703,48.75842952767154,0.5060465116279069,0.493953488372093,11.0,0.970941817426052,0.239315664287558,7.67368812926773,6.9930151229329605,6.968850378341948
USA,2009-03-30 00:00:00+00:00,200914.0,799.0,328.0,471.0,12.12720879264341,63.55472431456315,0.4105131414267834,0.5894868585732165,14.0,0.992708874098054,-0.1205366802553228,6.684611727667927,5.796057750765372,6.156978985585555
USA,2009-04-13 00:00:00+00:00,200916.0,339.0,153.0,186.0,5.160729339851711,79.0083523194551,0.4513274336283185,0.5486725663716814,16.0,0.9350162426854148,-0.3546048870425354,5.8289456176102075,5.0369526024136295,5.231108616854587
USA,2009-05-04 00:00:00+00:00,200919.0,4921.0,4431.0,490.0,19.854975932092124,64.66320593832924,0.9004267425320057,0.0995732574679943,19.0,0.7485107481711013,-0.6631226582407951,8.501470230951002,8.39660622842712,6.19644412779452
USA,2009-05-18 00:00:00+00:00,200921.0,3875.0,3782.0,93.0,-4.773116010319269,49.209217322014595,0.976,0.024,21.0,0.5680647467311558,-0.8229838658936564,8.262558973010657,8.23827262463303,4.543294782270004
USA,2009-06-08 00:00:00+00:00,200924.0,5422.0,5407.0,15.0,23.911855082041516,84.69179209332692,0.9972334931759498,0.0027665068240501,24.0,0.2393156642875576,-0.970941817426052,8.59840444684106,8.5956346177228,2.772588722239781
USA,2009-07-13 00:00:00+00:00,200929.0,2641.0,2637.0,4.0,24.576473431489138,82.23994661123491,0.998485422188565,0.001514577811435,29.0,-0.3546048870425356,-0.9350162426854148,7.879291485082271,7.87777633327726,1.6094379124341003
USA,2009-08-17 00:00:00+00:00,200934.0,2103.0,2102.0,1.0,21.472165820464433,76.58261097145709,0.9995244888254874,0.0004755111745126,34.0,-0.8229838658936564,-0.5680647467311559,7.651595573857601,7.6511201757027,0.6931471805599453
USA,2009-10-12 00:00:00+00:00,200942.0,10858.0,10840.0,18.0,17.915447623231746,54.742423652765154,0.9983422361392522,0.0016577638607478,42.0,-0.9350162426854148,0.3546048870425355,9.2927495082169,9.291090521661292,2.9444389791664403
USA,2009-11-16 00:00:00+00:00,200947.0,3454.0,3441.0,13.0,20.136641699493374,87.54507424467795,0.9962362478286044,0.0037637521713954,47.0,-0.5680647467311559,0.8229838658936564,8.14757773620177,8.143807976771484,2.6390573296152584
USA,2009-12-21 00:00:00+00:00,200952.0,392.0,389.0,3.0,5.363796486646317,47.66450819968304,0.9923469387755102,0.0076530612244897,52.0,6.432490598706546e-16,1.0,5.973809611869261,5.966146739123692,1.3862943611198906
USA,2010-01-04 00:00:00+00:00,201001.0,366.0,358.0,8.0,2.952695053043794,56.47493024411147,0.9781420765027322,0.0218579234972677,1.0,0.120536680255323,0.992708874098054,5.905361848054571,5.883322388488279,2.1972245773362196
USA,2010-01-25 00:00:00+00:00,201004.0,402.0,393.0,9.0,21.007252946359294,72.4463979804024,0.9776119402985076,0.0223880597014925,4.0,0.4647231720437685,0.8854560256532099,5.998936561946683,5.976350909297934,2.302585092994046
USA,2010-03-01 00:00:00+00:00,201009.0,445.0,440.0,5.0,22.524668795845415,70.10493688264556,0.9887640449438202,0.0112359550561797,9.0,0.8854560256532098,0.4647231720437686,6.100318952020064,6.089044875446846,1.791759469228055
USA,2010-04-05 00:00:00+00:00,201014.0,127.0,127.0,0.0,5.751509426552501,45.40627524008242,1.0,0.0,14.0,0.992708874098054,-0.1205366802553228,4.852030263919617,4.852030263919617,0.0
USA,2010-05-10 00:00:00+00:00,201019.0,26.0,23.0,3.0,-0.1958020406151223,45.87099122334805,0.8846153846153846,0.1153846153846153,19.0,0.7485107481711013,-0.6631226582407951,3.295836866004329,3.1780538303479458,1.3862943611198906
USA,2010-06-14 00:00:00+00:00,201024.0,11.0,7.0,4.0,28.973423156600905,79.67303155236918,0.6363636363636364,0.3636363636363636,24.0,0.2393156642875576,-0.970941817426052,2.4849066497880004,2.0794415416798357,1.6094379124341003
USA,2010-07-19 00:00:00+00:00,201029.0,12.0,8.0,4.0,22.857455107312976,61.41804008702736,0.6666666666666666,0.3333333333333333,29.0,-0.3546048870425356,-0.9350162426854148,2.5649493574615367,2.1972245773362196,1.6094379124341003
USA,2010-08-23 00:00:00+00:00,201034.0,45.0,37.0,8.0,22.240619886750945,48.19501008906924,0.8222222222222222,0.1777777777777777,34.0,-0.8229838658936564,-0.5680647467311559,3.828641396489095,3.6375861597263857,2.1972245773362196
USA,2010-09-27 00:00:00+00:00,201039.0,62.0,42.0,20.0,29.94945421180603,86.02553800332444,0.6774193548387096,0.3225806451612903,39.0,-1.0,-1.8369701987210294e-16,4.143134726391533,3.7612001156935624,3.044522437723423
